tpep_dropoff_datetime,tpep_pickup_datetime,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude,trip_distance,total_amount,tip_amount
2015-09-01 18:30:27,2015-09-01 14:40:56,-73.955345153808594,40.780288696289063,-73.970718383789063,40.764461517333984,15.61,171.62,34.32
2015-09-01 18:12:46,2015-09-01 14:46:44,-73.983345031738281,40.761497497558594,-73.990730285644531,40.756282806396484,21.20,89.92,0
2015-09-01 18:14:48,2015-09-01 15:53:36,-73.986854553222656,40.758087158203125,-73.776329040527344,40.645210266113281,17.90,58.34,0
2015-09-01 18:41:56,2015-09-01 16:28:04,-73.832786560058594,40.761631011962891,-73.870903015136719,40.773681640625,11.73,122.8,40
2015-09-01 18:04:09,2015-09-01 16:39:07,-73.994949340820312,40.737640380859375,-73.886703491210937,40.753547668457031,8.40,39.8,0
2015-09-01 18:09:32,2015-09-01 16:48:40,-73.98883056640625,40.665397644042969,-73.781867980957031,40.644706726074219,21.13,84.96,14.16
2015-09-01 18:02:32,2015-09-01 16:49:09,-73.983833312988281,40.762950897216797,-73.776313781738281,40.645420074462891,18.77,58.34,0
2015-09-01 18:00:17,2015-09-01 16:58:20,-73.781806945800781,40.644451141357422,-73.971649169921875,40.761096954345703,16.90,52.8,0
2015-09-01 18:11:07,2015-09-01 16:58:20,-73.800521850585938,40.645713806152344,-73.988380432128906,40.746021270751953,15.80,69.99,11.65
2015-09-01 18:03:12,2015-09-01 16:58:30,-73.776275634765625,40.645366668701172,-73.980476379394531,40.685276031494141,18.80,69.35,11.55
2015-09-01 18:12:48,2015-09-01 16:58:30,-73.783599853515625,40.643661499023438,-74.014938354492188,40.708381652832031,16.86,63.34,5
2015-09-01 18:11:44,2015-09-01 16:58:32,-73.885520935058594,40.773189544677734,-73.979049682617188,40.762500762939453,16.93,68.34,5
2015-09-01 18:01:33,2015-09-01 16:58:34,-73.984725952148437,40.768379211425781,-73.7908935546875,40.644779205322266,18.20,52.8,0
2015-09-01 18:11:33,2015-09-01 16:58:43,-73.979576110839844,40.749118804931641,-73.973098754882812,40.753688812255859,7.50,45.8,0
2015-09-01 18:15:13,2015-09-01 16:43:55,-73.993621826171875,40.745307922363281,-73.782012939453125,40.644645690917969,24.22,70.01,11.67
2015-09-01 18:01:11,2015-09-01 16:41:40,-73.949691772460938,40.673477172851563,-73.874679565429687,40.774154663085938,10.20,64.55,10.75
2015-09-01 18:06:05,2015-09-01 16:57:55,-73.898460388183594,40.767112731933594,-73.898460388183594,40.767112731933594,15.60,58.34,0
2015-09-01 18:02:55,2015-09-01 16:57:57,-73.991325378417969,40.750080108642578,-73.776710510253906,40.64642333984375,18.17,58.34,0
2015-09-01 18:04:30,2015-09-01 17:02:36,-74.015777587890625,40.715671539306641,-73.776351928710937,40.645610809326172,22.82,75.84,17.5
2015-09-01 18:09:45,2015-09-01 17:02:41,-73.783943176269531,40.643512725830078,-73.984527587890625,40.746006011962891,16.00,69.99,11.65
2015-09-01 18:00:18,2015-09-01 17:02:43,-74.00347900390625,40.750823974609375,-73.790054321289063,40.643768310546875,18.76,70.01,11.67
2015-09-01 18:01:04,2015-09-01 16:52:55,-73.981155395507813,40.753337860107422,-73.790321350097656,40.644084930419922,17.94,58.34,0
2015-09-01 18:03:00,2015-09-01 16:53:31,-73.993293762207031,40.756420135498047,-73.782127380371094,40.6446533203125,17.99,58.34,0
2015-09-01 18:06:34,2015-09-01 16:54:41,-73.988494873046875,40.761573791503906,-73.782478332519531,40.644577026367188,18.38,58.34,0
2015-09-01 18:39:14,2015-09-01 16:54:48,-74.046653747558594,40.722736358642578,-73.790573120117187,40.644950866699219,21.93,147.59,15
2015-09-01 18:06:40,2015-09-01 17:00:19,-74.001655578613281,40.734443664550781,-73.791069030761719,40.645462036132812,19.30,69.99,11.65
2015-09-01 18:02:57,2015-09-01 17:03:52,-73.970916748046875,40.793460845947266,-73.807289123535156,40.654655456542969,18.68,58.34,0
2015-09-01 18:03:29,2015-09-01 16:50:33,-73.952392578125,40.669937133789063,-73.862709045410156,40.768863677978516,12.60,64.55,10.75
2015-09-01 18:06:59,2015-09-01 16:59:16,-73.992279052734375,40.756782531738281,-73.781867980957031,40.644630432128906,17.84,68.34,10
2015-09-01 18:00:13,2015-09-01 16:59:41,-73.786224365234375,40.644027709960937,-73.974990844726563,40.790866851806641,19.40,72.89,14.55
2015-09-01 18:01:11,2015-09-01 17:00:05,-73.980079650878906,40.673946380615234,-73.863784790039063,40.769523620605469,12.10,61.6,12.3
2015-09-01 18:04:02,2015-09-01 17:00:40,-73.78179931640625,40.644378662109375,-73.987655639648438,40.760696411132813,16.22,58.34,0
2015-09-01 18:09:12,2015-09-01 17:01:00,-73.783790588378906,40.643611907958984,-73.981727600097656,40.728183746337891,17.40,69.99,11.65
2015-09-01 19:10:32,2015-09-01 17:01:09,-73.985969543457031,40.7589111328125,-73.871025085449219,40.773567199707031,10.90,49,8.16
2015-09-01 18:02:41,2015-09-01 17:01:15,-73.987472534179688,40.760597229003906,-73.790016174316406,40.646808624267578,17.90,58.34,0
2015-09-01 18:07:07,2015-09-01 17:02:53,-73.985748291015625,40.759204864501953,-73.789985656738281,40.643535614013672,18.50,58.34,0
2015-09-01 18:01:49,2015-09-01 17:03:00,-73.879707336425781,40.883045196533203,0,0,25.30,79.84,0
2015-09-01 18:24:13,2015-09-01 17:03:11,-73.865592956542969,40.771022796630859,-73.954444885253906,40.766353607177734,17.80,89.79,17.95
