tpep_dropoff_datetime,tpep_pickup_datetime,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude,trip_distance,total_amount,tip_amount
2015-09-07 18:10:57,2015-09-06 18:15:36,-74.177268981933594,40.691089630126953,-73.967506408691406,40.791210174560547,19.25,86.55,0
2015-09-07 18:00:01,2015-09-06 18:02:02,-73.976806640625,40.788425445556641,-73.988807678222656,40.777900695800781,1.11,6.8,0
2015-09-07 18:02:31,2015-09-06 18:16:51,-73.989242553710938,40.723110198974609,-73.994537353515625,40.751228332519531,2.80,17.38,1.58
2015-09-07 18:15:36,2015-09-06 18:22:46,-73.989051818847656,40.670082092285156,-73.974388122558594,40.753711700439453,8.99,32.3,0
2015-09-07 18:24:55,2015-09-06 18:31:26,-73.999549865722656,40.731868743896484,-74.002960205078125,40.760311126708984,2.51,12.8,0
2015-09-07 18:06:01,2015-09-06 18:42:20,-73.989669799804688,40.733211517333984,-73.780563354492187,40.646133422851562,17.84,66.85,8.72
2015-09-07 18:10:07,2015-09-06 18:21:30,-73.971878051757812,40.756839752197266,-73.979331970214844,40.766880035400391,1.08,7.3,0
2015-09-07 18:23:08,2015-09-06 18:34:05,-73.984771728515625,40.736740112304688,-73.988945007324219,40.763595581054688,2.56,18.17,2.37
2015-09-07 18:22:54,2015-09-06 18:38:57,-73.991065979003906,40.750522613525391,-73.978202819824219,40.752414703369141,1.04,8.3,0
2015-09-07 18:20:11,2015-09-06 18:22:11,-73.975914001464844,40.757347106933594,-73.998184204101563,40.723705291748047,3.04,13.3,0
2015-09-07 18:29:35,2015-09-06 18:38:22,-73.859725952148438,40.839996337890625,-73.989433288574219,40.720722198486328,13.61,45.43,4.13
2015-09-07 18:50:39,2015-09-06 18:52:52,-73.979324340820313,40.727741241455078,-73.994194030761719,40.756366729736328,3.05,15.73,1.43
2015-09-07 18:33:56,2015-09-06 18:45:30,-73.902984619140625,40.721687316894531,-73.984451293945313,40.745845794677734,5.46,28.57,3.73
2015-09-07 18:33:54,2015-09-06 18:47:13,-73.938270568847656,40.850830078125,-74.015068054199219,40.704887390136719,11.50,44.16,7.36
